"","week","analytics","api","artificial intelligence","big data","clustering","data mining","data science","data scientist","data warehouse","deep learning","etl","excel","github","hadoop","iot","java","machine learning","matlab","minitab","modeling","python","R","regression","sql","statistician"
"145","2017-09-24",73,68,65,90,75,73,52,67,79,84,86,94,53,68,87,60,69,82,73,85,71,61,62,86,67
"146","2017-10-01",75,67,65,91,73,77,54,63,74,73,85,96,52,65,84,58,70,82,74,80,71,60,65,87,76
"147","2017-10-08",74,69,70,91,82,81,53,71,73,81,88,95,54,71,88,61,72,88,77,84,73,61,67,89,66
"148","2017-10-15",75,69,66,89,77,75,54,61,77,83,79,97,55,66,86,59,71,91,80,86,72,61,68,84,61
"149","2017-10-22",75,72,83,96,87,81,53,67,84,80,87,98,55,76,92,62,76,92,77,83,74,63,69,91,79
"150","2017-10-29",74,70,77,91,86,80,53,66,81,85,87,91,54,71,86,60,75,89,75,83,72,62,67,87,67
"151","2017-11-05",78,72,83,95,91,90,55,64,86,88,88,100,55,72,98,63,76,96,82,85,76,68,70,91,78
"152","2017-11-12",78,73,78,96,91,93,56,62,89,94,89,97,57,71,94,61,79,97,79,87,75,69,76,91,72
"153","2017-11-19",70,66,74,89,85,79,48,59,74,85,74,87,52,67,86,58,70,85,73,76,69,79,63,81,62
"154","2017-11-26",75,72,83,93,91,84,54,62,80,93,86,95,55,68,98,60,74,93,83,85,73,74,73,87,75
"155","2017-12-03",74,73,81,91,94,93,54,64,100,100,89,95,56,67,100,60,79,91,86,83,77,72,83,88,73
"156","2017-12-10",71,71,77,88,81,87,53,60,81,92,81,89,55,67,97,57,78,80,71,82,72,72,74,88,60
"157","2017-12-17",64,71,66,74,74,73,47,54,64,84,76,80,51,60,88,53,70,66,53,73,68,73,52,78,50
"158","2017-12-24",43,59,53,53,49,54,38,49,43,72,49,55,40,45,65,42,55,44,33,60,51,61,35,51,42
"159","2017-12-31",60,65,64,67,59,62,54,58,57,80,65,75,46,53,76,46,63,50,42,73,57,56,46,63,49
"160","2018-01-07",73,69,71,84,72,77,58,62,68,93,82,96,58,64,91,54,72,66,53,82,69,56,54,82,78
"161","2018-01-14",71,71,100,82,71,73,58,64,70,88,85,96,58,63,91,55,76,70,60,84,71,57,56,84,76
